,Name,Released,Updated,Developer,Theme,Influences,Inferred_Roguelike_Influences,Inferred_Roguelikelike_Influences,Inferred_Other_Influences
27,Runestone Keeper,2015-01-01,,Blackfire Games,Fantasy,[],"[""Choose"", ""Rogue""]",[],"[""Dive"", ""Minesweeper"", ""Soul"", ""Keeper"", ""XIII""]"
28,Skyshine's Bedlam,2015-01-01,,Skyshine Games,Post-apocalyptic,[],"[""Rogue""]",[],"[""Bedlam"", ""Amazon"", ""Mutants"", ""Mad Max"", ""Fallout""]"
29,Infinite Space III: Sea of Stars,2015-01-01,2016-01-01,"Rich Carlson, Iikka Keränen",Space science fiction,[],"[""Fallen"", ""91""]",[],"[""Ripcord"", ""Inferno"", ""Gods"", ""Doom"", ""Prodigy""]"
30,Darkest Dungeon,2016-01-01,,Red Hook Studios,Fantasy,[],[],[],"[""Hamlet"", ""Switch"", ""Heart of Darkness"", ""Necromancer"", ""Siren""]"
31,Enter the Gungeon,2016-01-01,,Dodge Roll,Science fiction,[],"[""Spelunky"", ""Pixel Dungeon""]","[""The Binding of Isaac"", ""Nuclear Throne"", ""Rogue Legacy""]","[""Breach"", ""Dark Souls"", ""Switch"", ""Amazon"", ""Mega Man""]"
32,FORCED Showdown,2016-01-01,,BetaDwarf,"Fantasy, science fiction",[],"[""Diablo"", ""Rogue""]","[""Nuclear Throne""]","[""Stormbringer"", ""Champions"", ""Borderlands"", ""Gauntlet""]"
33,Pixel Cave,2016-01-01,,Megabyte,Fantasy,[],"[""Diablo""]","[""Diablo III"", ""Diablo II""]","[""Zaxxon"", ""Fallout"", ""SimCity"", ""Final Fantasy Tactics"", ""Congo Bongo""]"
34,Dragon's Lunch,2017-01-01,,Abbot Computing Ltd,Fantasy,[],[],"[""Enter the Gungeon""]","[""Dragon""]"
35,Dead Cells,2017-01-01,,Motion Twin,Fantasy,[],"[""Diablo""]","[""The Binding of Isaac""]","[""Castlevania"", ""The Prisoner"", ""Dark Souls"", ""Patience"", ""Ramparts""]"
36,Heat Signature,2017-01-01,,Suspicious Developments,Science fiction,[],"[""Spelunky""]",[],"[""Gunpoint"", ""Again"", ""Captive"", ""Monster Hunter"", ""Sidewinder""]"
37,FARA,2018-01-01,,Brian Roberts,Fantasy,[],"[""Clarion""]",[],"[""Post Mortem"", ""Glover"", ""Syberia"", ""Memento Mori"", ""Myst""]"
38,KeeperRL,2018-01-01,,Michal Brzozowski,Fantasy,[],[],[],"[""Alpha"", ""Memory"", ""Monster Hunter"", ""Challenger"", ""Dungeon Keeper""]"
